tokenizer,perturbation,mean_num_toks,mean_tok_len,mean_char_dist,mean_tok_dist,mean_tok_jaccard
WhereIsAI/UAE-Large-V1,_none,25.506833333333333,4.223293104462203,0.0,0.0,1.0
WhereIsAI/UAE-Large-V1,characters_capitalization,25.506833333333333,4.223293104462203,0.0,49.56783333333333,1.0
WhereIsAI/UAE-Large-V1,characters_keyboard_insert,37.573,3.631774589909421,18.049666666666667,6.165,0.4353204295011986
WhereIsAI/UAE-Large-V1,characters_keyboard_replace,34.042833333333334,3.633212080858918,13.773833333333334,5.6306666666666665,0.47692099757709333
WhereIsAI/UAE-Large-V1,characters_neighbour_swap,32.37116666666667,3.7452722844918576,11.487833333333333,8.965666666666667,0.5210392736100962
WhereIsAI/UAE-Large-V1,characters_ocr_error,28.283166666666666,3.9555742815219888,4.378666666666667,2.6398333333333333,0.7813189398141835
WhereIsAI/UAE-Large-V1,characters_punctuation,31.790333333333333,3.594876849356723,8.7785,8.781333333333333,0.7699688026950919
WhereIsAI/UAE-Large-V1,characters_random_delete,29.839666666666666,3.7272590176387137,9.922,5.667166666666667,0.5334121968677856
WhereIsAI/UAE-Large-V1,characters_random_insert,35.48683333333334,3.755594798070646,14.863166666666666,5.716833333333334,0.47074718253879344
WhereIsAI/UAE-Large-V1,characters_random_replace,33.61233333333333,3.696956474310025,13.392333333333333,5.667166666666667,0.4817003172982484
WhereIsAI/UAE-Large-V1,characters_shift_key_miss,36.74816666666667,3.322256439096735,16.482,5.564,0.44882167324465977
WhereIsAI/UAE-Large-V1,sentences_paraphrase,21.027843803056026,4.648553942545255,19.18539898132428,79.4672325976231,0.38506257411917555
WhereIsAI/UAE-Large-V1,words_clare,25.211166666666667,4.235008296588152,3.037166666666667,14.2725,0.8326837137603118
WhereIsAI/UAE-Large-V1,words_duplication,28.130333333333333,4.226368925596331,2.6235,12.953833333333334,1.0
WhereIsAI/UAE-Large-V1,words_joining,28.909,4.301688055622816,9.140333333333333,5.486833333333333,0.6077143779084748
WhereIsAI/UAE-Large-V1,words_lemmatization,25.459,4.070433507469526,3.0353333333333334,4.7595,0.8039670886545769
WhereIsAI/UAE-Large-V1,words_position_swap,25.511,4.222505324500542,3.7636666666666665,15.385333333333334,0.9995928420416437
WhereIsAI/UAE-Large-V1,words_stemming,29.741833333333332,3.5135359286302683,10.379,12.391833333333333,0.5835692333663896
BAAI/bge-large-en-v1.5,_none,25.506833333333333,4.223293104462203,0.0,0.0,1.0
BAAI/bge-large-en-v1.5,characters_capitalization,25.506833333333333,4.223293104462203,0.0,49.56783333333333,1.0
BAAI/bge-large-en-v1.5,characters_keyboard_insert,37.573,3.631774589909421,18.049666666666667,6.165,0.4353204295011986
BAAI/bge-large-en-v1.5,characters_keyboard_replace,34.042833333333334,3.633212080858918,13.773833333333334,5.6306666666666665,0.47692099757709333
BAAI/bge-large-en-v1.5,characters_neighbour_swap,32.37116666666667,3.7452722844918576,11.487833333333333,8.965666666666667,0.5210392736100962
BAAI/bge-large-en-v1.5,characters_ocr_error,28.283166666666666,3.9555742815219888,4.378666666666667,2.6398333333333333,0.7813189398141835
BAAI/bge-large-en-v1.5,characters_punctuation,31.790333333333333,3.594876849356723,8.7785,8.781333333333333,0.7699688026950919
BAAI/bge-large-en-v1.5,characters_random_delete,29.839666666666666,3.7272590176387137,9.922,5.667166666666667,0.5334121968677856
BAAI/bge-large-en-v1.5,characters_random_insert,35.48683333333334,3.755594798070646,14.863166666666666,5.716833333333334,0.47074718253879344
BAAI/bge-large-en-v1.5,characters_random_replace,33.61233333333333,3.696956474310025,13.392333333333333,5.667166666666667,0.4817003172982484
BAAI/bge-large-en-v1.5,characters_shift_key_miss,36.74816666666667,3.322256439096735,16.482,5.564,0.44882167324465977
BAAI/bge-large-en-v1.5,sentences_paraphrase,21.027843803056026,4.648553942545255,19.18539898132428,79.4672325976231,0.38506257411917555
BAAI/bge-large-en-v1.5,words_clare,25.211166666666667,4.235008296588152,3.037166666666667,14.2725,0.8326837137603118
BAAI/bge-large-en-v1.5,words_duplication,28.130333333333333,4.226368925596331,2.6235,12.953833333333334,1.0
BAAI/bge-large-en-v1.5,words_joining,28.909,4.301688055622816,9.140333333333333,5.486833333333333,0.6077143779084748
BAAI/bge-large-en-v1.5,words_lemmatization,25.459,4.070433507469526,3.0353333333333334,4.7595,0.8039670886545769
BAAI/bge-large-en-v1.5,words_position_swap,25.511,4.222505324500542,3.7636666666666665,15.385333333333334,0.9995928420416437
BAAI/bge-large-en-v1.5,words_stemming,29.741833333333332,3.5135359286302683,10.379,12.391833333333333,0.5835692333663896
Alibaba-NLP/gte-large-en-v1.5,_none,25.506833333333333,4.223293104462203,0.0,0.0,1.0
Alibaba-NLP/gte-large-en-v1.5,characters_capitalization,25.506833333333333,4.223293104462203,0.0,49.56783333333333,1.0
Alibaba-NLP/gte-large-en-v1.5,characters_keyboard_insert,37.573,3.631774589909421,18.049666666666667,6.165,0.4353204295011986
Alibaba-NLP/gte-large-en-v1.5,characters_keyboard_replace,34.042833333333334,3.633212080858918,13.773833333333334,5.6306666666666665,0.47692099757709333
Alibaba-NLP/gte-large-en-v1.5,characters_neighbour_swap,32.37116666666667,3.7452722844918576,11.487833333333333,8.965666666666667,0.5210392736100962
Alibaba-NLP/gte-large-en-v1.5,characters_ocr_error,28.283166666666666,3.9555742815219888,4.378666666666667,2.6398333333333333,0.7813189398141835
Alibaba-NLP/gte-large-en-v1.5,characters_punctuation,31.790333333333333,3.594876849356723,8.7785,8.781333333333333,0.7699688026950919
